,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,46.43843078613281,0.5602248602042971,2.253558953603109,0.02112392209569986,512,0.2,20,128,2,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 2}",0.7593136611927862,0.7598666214334902,0.758961893762837,0.7593807254630378,0.0003723853306900169,4,0.7560835660133554,0.7565478261262442,0.7556487283866391,0.7560933735087462,0.0003671206219261029,4,0.937505836873817,0.9373500957417988,0.9367317153061009,0.9371958826405722,0.000334317524561346,4
1,56.157124519348145,0.21329190664974684,2.2683958212534585,0.018782634940017393,512,0.2,20,128,3,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 3}",0.7635818016410223,0.7658311866976398,0.7627574490583504,0.7640568124656708,0.0012990232821742385,2,0.7605428899310545,0.7624032566314106,0.7597737345989979,0.7609066270538211,0.0011038795376896446,2,0.9392891596395738,0.9398456780397458,0.9383858599940342,0.9391735658911179,0.0006015472370799976,1
2,74.34762938817342,0.5181158491446506,2.4409252802530923,0.07634267364533569,512,0.2,20,128,5,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 5}",0.7654118744590588,0.7653282839344829,0.7636348515371633,0.7647916699769016,0.0008187056943081164,1,0.7622416799949397,0.7622315696258579,0.7604469283839282,0.7616400593349087,0.0008436810829261943,1,0.9392192739223122,0.939512079573319,0.9380866902542554,0.9389393479166288,0.0006146557867177853,2
3,95.4929838180542,1.739644776337551,2.7496456305185952,0.08504025728806573,512,0.2,20,128,7,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 7}",0.7635122027908545,0.762752501033794,0.7629579788090408,0.7630742275445632,0.00032085512442337833,3,0.7606603594567486,0.7599273492881766,0.760004156632766,0.7601972884592305,0.00032893859974427397,3,0.9375329824338751,0.9375501791088174,0.937822941845617,0.9376353677961031,0.00013282055424652052,3
4,47.353423754374184,1.045229210390612,2.3195709387461343,0.043261542251912116,512,0.2,20,64,2,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 2}",0.752930814237194,0.7537154286505364,0.7533984631226749,0.7533482353368018,0.00032228048576921265,11,0.7494646100463552,0.7503806481636267,0.7498836594633426,0.7499096392244415,0.000374421926943065,11,0.9326939298370158,0.9331068473504353,0.932759771189765,0.9328535161257386,0.0001811377063408762,10
5,55.84507099787394,0.9984387045039981,2.269062360127767,0.030255057678686942,512,0.2,20,64,3,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 3}",0.7561727184847152,0.7584579900102104,0.7553178412428152,0.756649516579247,0.0013255529380992231,7,0.7530655028147506,0.7551110769745135,0.751740589970768,0.753305723253344,0.0013864402992178465,8,0.9342709900239781,0.9348768673245221,0.9330782085340354,0.9340753552941785,0.0007472161988681961,7
6,74.21560708681743,0.6945377276375403,2.4492599964141846,0.07962429239328715,512,0.2,20,64,5,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 5}",0.7556655106167559,0.7588096376327508,0.7562742393938496,0.7569164625477854,0.0013615485320682083,6,0.7523471314845437,0.7554951136974604,0.7531728210434052,0.7536716887418032,0.0013326914468069341,7,0.9323518517338357,0.9339397193898226,0.9326267953239376,0.9329727888158653,0.0006928754316010651,8
7,93.23292311032613,2.085440026945224,2.611121416091919,0.07266885862201442,512,0.2,20,64,7,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 7}",0.7548577585552956,0.7558750625240807,0.7545494718067813,0.7550940976287192,0.000566386090735274,10,0.7517914102668365,0.7533173995743969,0.7520930001400604,0.7524006033270979,0.0006598614158563492,9,0.9306264815280224,0.9313965407824819,0.930957868238195,0.9309936301828997,0.00031539076435587924,11
8,47.798500855763756,0.44114028155144386,2.3102355003356934,0.012346234472379754,512,0.2,20,32,2,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 2}",0.7417234719938771,0.742534587888369,0.7409407169989648,0.7417329256270703,0.0006507294017269948,19,0.73891494302728,0.7394604509946551,0.738010147605644,0.7387951805425264,0.0005981093933443042,19,0.9261767047700131,0.9258064440839652,0.9264223363464611,0.9261351617334798,0.00025314710830383856,16
9,55.20379185676575,1.4224335293558985,2.3385738531748452,0.02185288924420157,512,0.2,20,32,3,"{'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 3}",0.7471793462712764,0.7495194824242313,0.7466704657416431,0.7477897648123836,0.0012406133189977852,16,0.743812518636992,0.7465809436459995,0.7434137702014612,0.7446024108281509,0.001408472970321042,16,0.9275884195506459,0.9282240092176117,0.9282423609432755,0.9280182632371776,0.00030403770884236117,14
