,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_norm,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,131.0778544743856,3.1549153238226357,4.248740832010905,0.12555363682507062,0,512,0.2,20,32,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 2}",0.7132077259819907,0.7150949415275031,0.7107017230899081,0.713001463533134,0.001799444397300164,24,0.7113638211933097,0.7130748690886582,0.7090266702208888,0.7111551201676188,0.0016592459345228018,24,0.9112216328821405,0.9119506762184159,0.9080646750327839,0.9104123280444467,0.0016865115957540298,21
1,186.74022690455118,0.7190256481194378,5.782007694244385,0.09044311266381991,0,512,0.2,20,32,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 3}",0.6941479365364965,0.6975136351186599,0.6930671577192271,0.6949095764581279,0.0018934733240940492,37,0.6926274318450848,0.6958248431097035,0.6917043549764382,0.6933855433104088,0.0017655320934469576,37,0.8988891479292223,0.8998511956025874,0.8977623558823014,0.8988342331380371,0.0008536488622298116,34
2,303.44190724690753,1.0539071656336332,8.783364852269491,0.1654120276188956,0,512,0.2,20,32,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 5}",0.6889477123172498,0.6887712016517618,0.6948640146563463,0.6908609762084525,0.0028314927294325323,39,0.6874768449492622,0.6881124820971116,0.6942254431106071,0.6899382567189937,0.0030425848674285887,39,0.8916570379421993,0.893196097598674,0.897333907691187,0.8940623477440202,0.0023971517157489386,39
3,419.9058808485667,0.6915442916161904,11.810392220815023,0.08721260463828713,0,512,0.2,20,32,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 7}",0.6870428255696878,0.6813221331310003,0.6828534410595988,0.6837394665867622,0.002418037967802679,40,0.6864015469832923,0.6817103640216325,0.6822163888801037,0.6834427666283428,0.002102348081070883,40,0.8895521927078859,0.8878122794963798,0.8873944201689217,0.8882529641243958,0.0009343974131329141,41
4,135.36126820246378,0.6491582203791667,4.51578704516093,0.15512711199159795,0,512,0.2,20,64,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 2}",0.7203861249109209,0.7215696220289021,0.7232002850445803,0.7217186773281344,0.0011537005463988332,18,0.7179918132776708,0.7198610238870842,0.7212119295360384,0.7196882555669312,0.0013202711460623576,18,0.9170014073743094,0.9174505010574314,0.9183975518702422,0.9176164867673277,0.0005819325879047086,17
5,189.53354700406393,1.0000514854432287,6.038052399953206,0.20238359027279,0,512,0.2,20,64,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 3}",0.7086027177899956,0.7084907290414527,0.7056939374684887,0.7075957947666457,0.0013455931175172513,27,0.7065385345224864,0.7065733532731224,0.7040477470598601,0.7057198782851563,0.0011824607709650708,27,0.9083924164569286,0.9078133674076614,0.9060820641717766,0.9074292826787889,0.000981520157575838,26
6,310.176748752594,0.45324881706310743,8.998068491617838,0.31560316936808913,0,512,0.2,20,64,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 5}",0.7042459178304045,0.7033894932900875,0.7009137823580747,0.7028497311595222,0.0014128668419644537,29,0.7026033054117307,0.7013188272873905,0.6989874984751483,0.7009698770580899,0.0014966272409557054,29,0.9041100344155467,0.9018491607188469,0.9019000054818804,0.9026197335387579,0.0010540062697472767,29
7,426.7930809656779,1.549566932258085,12.622034072875977,0.19484270604598966,0,512,0.2,20,64,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 7}",0.7025783362331853,0.7033507015615139,0.6986874424031841,0.7015388267326278,0.0020407403061550393,32,0.700669576296457,0.7016622012984959,0.6974423154251739,0.6999246976733756,0.001801479450952909,31,0.901447806408892,0.9009243339694907,0.8995621862679842,0.900644775548789,0.0007947769128873743,33
8,177.96653048197427,0.57797801160678,5.303757508595784,0.06349387189391463,0,512,0.2,20,128,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 2}",0.732361452272916,0.7305243625950213,0.7288929382904769,0.7305929177194713,0.0014168444199253313,15,0.73039388435577,0.728242060605513,0.7265206724708922,0.7283855391440585,0.0015844835424741082,15,0.9246267769021369,0.9227478303574781,0.9218334415624728,0.9230693496073625,0.0011628159931788545,13
9,264.91719086964923,1.0627479928894379,7.390954891840617,0.06711891100146955,0,512,0.2,20,128,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 3}",0.7229443045467203,0.7138636851591263,0.7138924981270174,0.7169001626109547,0.0042738699365282695,20,0.7207162026620402,0.7117013730442365,0.7114890233268424,0.7146355330110397,0.00430055660382607,21,0.9183814542693103,0.9124645233547237,0.9115502386561504,0.9141320720933948,0.0030278612677655877,19
