,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_norm,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc_ovr,split1_test_roc_auc_ovr,split2_test_roc_auc_ovr,mean_test_roc_auc_ovr,std_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,199.8511789639791,3.4047699026045284,5.425612767537435,0.09779106577114278,0,512,0.2,20,32,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 2}",0.7296452924361179,0.734929462795346,0.7256733786371227,0.7300827112895288,0.003791417934055605,31,0.7277011213821645,0.7324845368743025,0.7239950662576299,0.728060241504699,0.0034751022320351713,31,0.9214689683251647,0.9241481294093591,0.9190649261614043,0.9215606746319761,0.0020762219454313583,30
1,267.6923408508301,0.18889036375354773,7.106072346369426,0.03348284130358823,0,512,0.2,20,32,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 3}",0.7371540991161705,0.722919185132732,0.7245450635018469,0.7282061159169165,0.006361900796585246,32,0.7340896563564567,0.7214784962025546,0.7229197634333787,0.72616263866413,0.005636045891018966,32,0.9216382006637218,0.9161477798115378,0.9172719052274086,0.9183526285675562,0.0023681430822452124,32
2,421.9545707702637,0.9418084921918767,10.769877751668295,0.17048208907439583,0,512,0.2,20,32,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 5}",0.7175899068171195,0.7092398147649618,0.7311698149371033,0.7193331788397282,0.009037347505256154,37,0.7149150153162189,0.707065823894313,0.7287480854639842,0.716909641558172,0.008963407725403152,37,0.9078787326212645,0.9022044455130857,0.9198417382381973,0.9099749721241824,0.00735138031066339,36
3,574.3569769859314,1.6892415968470613,14.551870425542196,0.08694164826845187,0,512,0.2,20,32,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 32, 'n_layers': 7}",0.6332161019345345,0.6789325667406576,0.6976424870678588,0.6699303852476838,0.02706127896781908,40,0.646723955650736,0.673469387755102,0.6928022481961569,0.6709985305339984,0.01889234611389238,40,0.8642321598524207,0.8691905822299212,0.8909720000222627,0.8747982473682016,0.011614335805503116,41
4,198.5271154244741,0.13223742765294408,6.0092138449351,0.35367024971893796,0,512,0.2,20,64,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 2}",0.7462862098892729,0.746970715035741,0.7477604482584648,0.7470057910611595,0.0006023661333822272,18,0.7434465558838678,0.7441682894100744,0.7449318447768747,0.7441822300236055,0.0006064467712018097,19,0.9300629322352563,0.9301071680994525,0.9298062270459553,0.929992109126888,0.00013267331791335778,16
5,282.9983430703481,1.6854313992419976,7.618328173955281,0.007223875591329316,0,512,0.2,20,64,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 3}",0.7438130131231157,0.7485719541262578,0.7448501039071782,0.7457450237188507,0.002043288357825779,21,0.740726684558179,0.7456457012736465,0.7424197928008928,0.7429307262109061,0.002040420066859266,21,0.927904830377573,0.9303869013095006,0.9287332749572663,0.9290083355481134,0.001031798680059203,17
6,442.8738853931427,1.2202472251482885,11.507339557011923,0.16943197876838414,0,512,0.2,20,64,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 5}",0.7426883707245777,0.7440360452118887,0.7447510005911432,0.7438251388425364,0.0008551692285105354,26,0.7397643380592227,0.7417511170950558,0.7418595509932997,0.7411250020491927,0.0009631525831950589,25,0.9262342609104234,0.9260200842870903,0.926464614074962,0.9262396530908251,0.0001815185753275686,23
7,600.6992367108663,1.3420472995796147,14.784077723821005,0.2498137194154433,0,512,0.2,20,64,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 64, 'n_layers': 7}",0.7265464664247959,0.732862412509065,0.7421968817351559,0.7338685868896723,0.006428746119829274,30,0.7239737229707139,0.7291547125823985,0.7395146679437771,0.7308810344989632,0.0064609278582183375,30,0.9148689520554301,0.9206676879084764,0.925165315632593,0.9202339851988333,0.00421464504306477,31
8,289.87287481625873,0.5530167975980739,7.074900070826213,0.04449402988905129,0,512,0.2,20,128,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 2}",0.7531903894483123,0.7552283523339474,0.7529490015611959,0.7537892477811519,0.0010223611440905406,8,0.7504540648973949,0.7522646871456131,0.74990624985881,0.7508750006339394,0.0010077852878700388,8,0.9345326790468395,0.9350902451535031,0.9343085856267568,0.934643836609033,0.0003286486539989329,4
9,415.6958130995433,0.4729775847793339,9.53999638557434,0.1192123936434966,0,512,0.2,20,128,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 20, 'layer_size': 128, 'n_layers': 3}",0.7535605295884875,0.7547100787073784,0.7524953426004046,0.7535886502987568,0.0009043808514274127,9,0.7507974373571163,0.7518128792362639,0.7496351651132005,0.7507484939021936,0.0008897214158684089,9,0.9348613555497159,0.9352222697228829,0.9332713388144663,0.9344516546956884,0.0008475155631597424,5
