,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_norm,param_batch_size,param_dropout,param_epochs,param_layer_size,param_n_layers,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,262.67549482981366,13.723924131193549,2.974351406097412,0.06261074659651268,0,512,0.2,30,32,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 2}",0.7136563584664455,0.7133757460570257,0.7107808358181065,0.7126043134471925,0.0012944725641261864,19,0.7112463516676154,0.7110326973383996,0.7085793803906332,0.7102861431322159,0.0012100113870372722,19
1,306.9425534407298,2.791589990277033,3.51743221282959,0.05985931447900485,0,512,0.2,30,32,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 3}",0.7102998067614422,0.710414682462046,0.7064399377357838,0.7090514756530907,0.0018472315911106556,22,0.7076228686058175,0.7083670306732389,0.7053399176805989,0.7071099389865517,0.0012879378513195837,22
2,0.2965514659881592,0.002041288423249952,0.0,0.0,0,512,0.2,30,32,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 5}",,,,,,46,,,,,,46
3,0.2987194061279297,0.0013139654481587157,0.0,0.0,0,512,0.2,30,32,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 32, 'n_layers': 7}",,,,,,45,,,,,,45
4,260.15201743443805,1.4482857689095179,2.9715181986490884,0.02652222518694039,0,512,0.2,30,64,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 2}",0.7158478657088766,0.732984936015779,0.7447710847354957,0.731201295486717,0.011875020838385347,14,0.7132388155457363,0.73061857020869,0.7418414786769257,0.7285662881437841,0.011766817207852677,14
5,334.36502234141034,2.0159773156189664,3.595733324686686,0.09584855076892997,0,512,0.2,30,64,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 3}",0.714748374013299,0.7146474330518793,0.7182446264038578,0.7158801444896786,0.0016724489650974006,17,0.7128276722058066,0.7122887233263906,0.7158851142848107,0.7136671699390026,0.0015836822733706203,17
6,0.2985521157582601,0.001779852998750392,0.0,0.0,0,512,0.2,30,64,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 5}",,,,,,44,,,,,,44
7,0.29655154546101886,0.003894505174975967,0.0,0.0,0,512,0.2,30,64,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 64, 'n_layers': 7}",,,,,,43,,,,,,43
8,293.4566240310669,1.496773480063226,3.2183636824289956,0.013010158235341017,0,512,0.2,30,128,2,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 128, 'n_layers': 2}",0.7513942627877788,0.7518826946558655,0.7543953458926564,0.7525574344454337,0.0013148080438642748,7,0.7492296709949668,0.7489935978819245,0.7515869752815892,0.7499367480528268,0.0011708600994103742,7
9,357.5681284268697,1.258047200323283,3.800374666849772,0.09615985591744217,0,512,0.2,30,128,3,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 128, 'n_layers': 3}",0.7455937921034721,0.7551196154815449,0.7538123142087777,0.7515085739312649,0.004216297127989265,8,0.7425926427932446,0.7515914933606828,0.7508731187848174,0.748352418312915,0.004083321853226688,8
10,0.2940515677134196,0.002483705483689099,0.0,0.0,0,512,0.2,30,128,5,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 128, 'n_layers': 5}",,,,,,42,,,,,,42
11,0.29238462448120117,0.0020551585358013404,0.0,0.0,0,512,0.2,30,128,7,"{'batch_norm': 0, 'batch_size': 512, 'dropout': 0.2, 'epochs': 30, 'layer_size': 128, 'n_layers': 7}",,,,,,41,,,,,,41
